OUT_OF_74,INDEX1,MATCH,TEAM,BatsMan,How_out,Fielder,Bowler,Runs,Balls,Fours,Sixers,OUT_NTOUT
29,441,CSK_MI_29,MI,Ishan Kishan,Ct,Shardul T,Matheesha P,23,15,3,1,1
29,442,CSK_MI_29,MI,Suryakumar Yadav,Ct,Mustafizur R,Matheesha P,0,2,0,0,1
29,443,CSK_MI_29,MI,Tilak Varma,Ct,Shardul T,Matheesha P,31,20,5,0,1
29,444,CSK_MI_29,MI,Hardik Pandya,Ct,Ravindra J,Tushar D,2,6,0,0,1
29,445,CSK_MI_29,MI,Tim David,Ct,Rachin R,Mustafizur R,13,5,0,2,1
29,446,CSK_MI_29,MI,Romario Shepherd,B,,Matheesha P,1,2,0,0,1
29,447,CSK_MI_29,MI,Mohammad Nabi,,,,4,7,0,0,0
30,448,RCB_SRH_30,SRH,Abhishek Sharma,Ct,Lockie F,Reece T,34,22,2,2,1
30,449,RCB_SRH_30,SRH,Travis Head,Ct,Faf D,Lockie F,102,41,9,8,1
30,450,RCB_SRH_30,SRH,Heinrich Klaasen,Ct,Vijaykumar V,Lockie F,67,31,2,7,1
30,451,RCB_SRH_30,SRH,Aiden Markram,,,,32,17,2,2,0
30,452,RCB_SRH_30,SRH,Abdul Samad,,,,37,10,4,3,0
30,453,RCB_SRH_30,RCB,Virat Kohli,B,,Mayank M,42,20,6,2,1
30,454,RCB_SRH_30,RCB,Faf Du Plessis,Ctw,Heinrich K,Pat C,62,28,7,4,1
30,455,RCB_SRH_30,RCB,Will Jacks,Ro,,Jaydev U,7,4,1,0,1
30,456,RCB_SRH_30,RCB,Rajat Patidar,Ct,Nitish R,Mayank M,9,5,0,1,1
30,457,RCB_SRH_30,RCB,Saurav Chauhan,Lbw,,Pat C,0,1,0,0,1
30,458,RCB_SRH_30,RCB,Dinesh Karthik,Ctw,Heinrich K,T N,83,35,5,7,1
30,459,RCB_SRH_30,RCB,Mahipal Lomror,B,,Pat C,19,11,0,2,1
30,460,RCB_SRH_30,RCB,Anuj Rawat,,,,25,14,5,0,0
30,461,RCB_SRH_30,RCB,Vijaykumar Vyshak,,,,1,2,0,0,0
31,462,KKR_RR_31,KKR,Philip Salt,Ct,Avesh K,Avesh K,10,13,1,0,1
31,463,KKR_RR_31,KKR,Sunil Narine,B,,Trent B,109,56,13,6,1
31,464,KKR_RR_31,KKR,Angkrish Raghuvanshi,Ct,Ravichandran A,Kuldeep S,30,18,5,0,1
31,465,KKR_RR_31,KKR,Shreyas Iyer,Lbw,,Yuzvendra C,11,7,1,1,1
31,466,KKR_RR_31,KKR,Andre Russell,Ct,Dhruv J,Avesh K,13,10,2,0,1
31,467,KKR_RR_31,KKR,Rinku Singh,,,,20,9,1,2,0
31,468,KKR_RR_31,KKR,Venkatesh Iyer,Ct,Dhruv J,Kuldeep S,8,6,1,0,1
31,469,KKR_RR_31,KKR,Ramandeep Singh,,,,1,1,0,0,0
31,470,KKR_RR_31,RR,Yashasvi Jaiswal,Ct,Venkatesh I,Vaibhav A,19,9,3,1,1
31,471,KKR_RR_31,RR,Jos Buttler,,,,107,60,9,6,0
31,472,KKR_RR_31,RR,Sanju Samson,Ct,Sunil N,Harshit R,12,8,2,0,1
31,473,KKR_RR_31,RR,Riyan Parag,Ct,Andre R,Harshit R,34,14,4,2,1
31,474,KKR_RR_31,RR,Dhruv Jurel,Lbw,,Sunil N,2,4,0,0,1
31,475,KKR_RR_31,RR,Ravichandran Ashwin,Ct,Angkrish R,Varun C,8,11,1,0,1
31,476,KKR_RR_31,RR,Shimron Hetmyer,Ct,Shreyas I,Varun C,0,1,0,0,1
31,477,KKR_RR_31,RR,Rovman Powell,Lbw,,Sunil N,26,13,1,3,1
31,478,KKR_RR_31,RR,Trent Boult,Ro,Mitchell S,Shreyas I,0,1,0,0,1
32,479,DC_GT_32,GT,Wriddhiman Saha,B,,Mukesh K,2,10,0,0,1
32,480,DC_GT_32,GT,Shubman Gill,Ct,Prithvi S,Ishant S,8,6,2,0,1
32,481,DC_GT_32,GT,Sai Sudharsan,Ro,,Sumit K,12,9,2,0,1
32,482,DC_GT_32,GT,David Miller,Ctw,Rishabh P,Ishant S,2,6,0,0,1
32,483,DC_GT_32,GT,Abhinav Manohar Sadarangani,St,Rishabh P,Tristan S,8,14,1,0,1
32,484,DC_GT_32,GT,Rahul Tewatia,Lbw,,Axar P,10,15,1,0,1
32,485,DC_GT_32,GT,Shahrukh Khan,St,Rishabh P,Tristan S,0,1,0,0,1
32,486,DC_GT_32,GT,Rashid Khan,Ctw,Rishabh P,Mukesh K,31,24,2,1,1
32,487,DC_GT_32,GT,Mohit Sharma,Ct,Sumit K,Khaleel A,2,14,0,0,1
32,488,DC_GT_32,GT,Noor Ahmad,B,,Mukesh K,1,7,0,0,1
32,489,DC_GT_32,GT,Spencer Johnson,,,,1,1,0,0,0
32,490,DC_GT_32,DC,Prithvi Shaw,Ct,Spencer J,Sandeep W,7,6,1,0,1
32,491,DC_GT_32,DC,Jake Fraser-Mcgurk,Ct,Abhinav Manohar S,Spencer J,20,10,2,2,1
32,492,DC_GT_32,DC,Abishek Porel,B,,Sandeep W,15,7,2,1,1
32,493,DC_GT_32,DC,Shai Hope,Ct,Mohit S,Rashid K,19,10,1,2,1
32,494,DC_GT_32,DC,Rishabh Pant,,,,16,11,1,1,0
32,495,DC_GT_32,DC,Sumit Kumar,,,,9,9,2,0,0
33,496,MI_PBKS_33,MI,Ishan Kishan,Ct,Harpreet B,Kagiso R,8,8,1,0,1
33,497,MI_PBKS_33,MI,Rohit Sharma,Ct,Harpreet B,Sam C,36,25,2,3,1
33,498,MI_PBKS_33,MI,Suryakumar Yadav,Ct,Prabhsimran S,Sam C,78,53,7,3,1
33,499,MI_PBKS_33,MI,Tilak Varma,,,,34,18,2,2,0
33,500,MI_PBKS_33,MI,Hardik Pandya,Ct,Harpreet B,Harshal P,10,6,0,1,1
33,501,MI_PBKS_33,MI,Tim David,Ct,Sam C,Harshal P,14,7,2,1,1
33,502,MI_PBKS_33,MI,Romario Shepherd,Ct,Shashank S,Harshal P,1,2,0,0,1
33,503,MI_PBKS_33,MI,Mohammad Nabi,Ro,,Harshal P,0,1,0,0,1
33,504,MI_PBKS_33,PBKS,Sam Curran,Ctw,Ishan K,Jasprit B,6,7,1,0,1
33,505,MI_PBKS_33,PBKS,Prabhsimran Singh,Ctw,Ishan K,Gerald C,0,1,0,0,1
33,506,MI_PBKS_33,PBKS,Rilee Rossouw,B,,Jasprit B,1,3,0,0,1
33,507,MI_PBKS_33,PBKS,Liam Livingstone,Ct,Gerald C,Gerald C,1,2,0,0,1
33,508,MI_PBKS_33,PBKS,Harpreet Singh Bhatia,Ct,Shreyas G,Shreyas G,13,15,2,0,1
33,509,MI_PBKS_33,PBKS,Shashank Singh,Ct,Tilak V,Jasprit B,41,25,2,3,1
33,510,MI_PBKS_33,PBKS,Jitesh Sharma,Lbw,,Akash M,9,9,1,0,1
33,511,MI_PBKS_33,PBKS,Ashutosh Sharma,Ct,Mohammad N,Gerald C,61,28,2,7,1
33,512,MI_PBKS_33,PBKS,Harpreet Brar,Ct,Mohammad N,Hardik P,21,20,2,1,1
33,513,MI_PBKS_33,PBKS,Harshal Patel,,,,1,4,0,0,0
33,514,MI_PBKS_33,PBKS,Kagiso Rabada,Ro,Ishan K,Mohammad N,8,3,0,1,1
34,515,CSK_LSG_34,CSK,Ajinkya Rahane,B,,Krunal P,36,24,5,1,1
34,516,CSK_LSG_34,CSK,Rachin Ravindra,B,,Mohsin K,0,1,0,0,1
34,517,CSK_LSG_34,CSK,Ruturaj Gaikwad,Ctw,K L R,Yash T,17,13,1,0,1
34,518,CSK_LSG_34,CSK,Ravindra Jadeja,,,,57,40,5,1,0
34,519,CSK_LSG_34,CSK,Shivam Dube,Ctw,K L R,Marcus S,3,8,0,0,1
34,520,CSK_LSG_34,CSK,Sameer Rizvi,St,K L R,Krunal P,1,5,0,0,1
34,521,CSK_LSG_34,CSK,Moeen Ali,Ct,Ayush B,Ravi B,30,20,0,3,1
34,522,CSK_LSG_34,CSK,M S Dhoni,,,,28,9,3,2,0
34,523,CSK_LSG_34,LSG,Quinton De Kock,Ctw,M S D,Mustafizur R,54,43,5,1,1
34,524,CSK_LSG_34,LSG,K L Rahul,Ct,Ravindra J,Matheesha P,82,53,9,3,1
34,525,CSK_LSG_34,LSG,Nicholas Pooran,,,,23,12,3,1,0
34,526,CSK_LSG_34,LSG,Marcus Stoinis,,,,8,7,1,0,0
35,527,DC_SRH_35,SRH,Travis Head,Ct,Tristan S,Kuldeep Y,89,32,11,6,1
35,528,DC_SRH_35,SRH,Abhishek Sharma,Ct,Axar P,Kuldeep Y,46,12,2,6,1
35,529,DC_SRH_35,SRH,Aiden Markram,Ct,Axar P,Kuldeep Y,1,3,0,0,1
35,530,DC_SRH_35,SRH,Heinrich Klaasen,B,,Axar P,15,8,0,2,1
35,531,DC_SRH_35,SRH,Nitish Reddy,Ct,David W,Kuldeep Y,37,27,2,2,1
35,532,DC_SRH_35,SRH,Shahbaz Ahmed,,,,59,29,2,5,0
35,533,DC_SRH_35,SRH,Abdul Samad,Ct,Anrich N,Mukesh K,13,8,1,1,1
35,534,DC_SRH_35,SRH,Pat Cummins,Ro,Mukesh K,Tristan S,1,1,0,0,1
35,535,DC_SRH_35,DC,Prithvi Shaw,Ct,Abdul S,Washington S,16,5,4,0,1
35,536,DC_SRH_35,DC,David Warner,Ct,Pat C,Bhuvneshwar K,1,3,0,0,1
35,537,DC_SRH_35,DC,Jake Fraser-Mcgurk,Ctw,Heinrich K,Mayank M,65,18,5,7,1
35,538,DC_SRH_35,DC,Abishek Porel,St,Heinrich K,Mayank M,42,22,7,1,1
35,539,DC_SRH_35,DC,Tristan Stubbs,Ct,Shahbaz A,Nitish R,10,11,0,0,1
35,540,DC_SRH_35,DC,Rishabh Pant,Ct,T N,Nitish R,44,35,5,1,1
35,541,DC_SRH_35,DC,Lalit Yadav,B,,T N,7,8,1,0,1
35,542,DC_SRH_35,DC,Axar Patel,Ct,Pat C,T N,6,8,0,0,1
35,543,DC_SRH_35,DC,Anrich Nortje,B,,T N,0,2,0,0,1
35,544,DC_SRH_35,DC,Kuldeep Yadav,Lbw,,T N,0,1,0,0,1
35,545,DC_SRH_35,DC,Mukesh Kumar,,,,0,2,0,0,0
36,546,KKR_RCB_36,KKR,Philip Salt,Ct,Rajat P,Mohammed S,48,14,7,3,1
36,547,KKR_RCB_36,KKR,Sunil Narine,Ct,Virat K,Yash D,10,15,2,0,1
36,548,KKR_RCB_36,KKR,Angkrish Raghuvanshi,Ct,Cameron G,Yash D,3,4,0,0,1
36,549,KKR_RCB_36,KKR,Venkatesh Iyer,Ct,Mahipal L,Cameron G,16,8,3,0,1
36,550,KKR_RCB_36,KKR,Shreyas Iyer,Ct,Faf D,Cameron G,50,36,7,1,1
36,551,KKR_RCB_36,KKR,Rinku Singh,Ct,Yash D,Lockie F,24,16,2,1,1
36,552,KKR_RCB_36,KKR,Andre Russell,,,,27,20,4,0,0
36,553,KKR_RCB_36,KKR,Ramandeep Singh,,,,24,9,2,2,0
36,554,KKR_RCB_36,RCB,Virat Kohli,Ct,Harshit R,Harshit R,18,7,1,2,1
36,555,KKR_RCB_36,RCB,Faf Du Plessis,Ct,Venkatesh I,Varun C,7,7,1,0,1
36,556,KKR_RCB_36,RCB,Will Jacks,Ct,Angkrish R,Andre R,55,32,4,5,1
36,557,KKR_RCB_36,RCB,Rajat Patidar,Ct,Harshit R,Andre R,52,23,3,5,1
36,558,KKR_RCB_36,RCB,Cameron Green,Ct,Ramandeep S,Sunil N,6,4,0,1,1
36,559,KKR_RCB_36,RCB,Suyash Prabhudessai,Ct,Angkrish R,Harshit R,24,18,3,0,1
36,560,KKR_RCB_36,RCB,Mahipal Lomror,Ct,Sunil N,Sunil N,4,3,1,0,1
36,561,KKR_RCB_36,RCB,Dinesh Karthik,Ctw,Philip S,Andre R,25,18,3,1,1
36,562,KKR_RCB_36,RCB,Karn Sharma,Ct,Mitchell S,Mitchell S,20,7,0,3,1
36,563,KKR_RCB_36,RCB,Mohammed Siraj,,,,0,0,0,0,0
36,564,KKR_RCB_36,RCB,Lockie Ferguson,Ro,Philip S,Harshit R,1,1,0,0,1
37,565,GT_PBKS_37,PBKS,Sam Curran,Lbw,,Rashid K,20,19,2,0,1
37,566,GT_PBKS_37,PBKS,Prabhsimran Singh,Ctw,Wriddhiman S,Mohit S,35,21,3,3,1
37,567,GT_PBKS_37,PBKS,Rilee Rossouw,Lbw,,Noor A,9,7,2,0,1
37,568,GT_PBKS_37,PBKS,Jitesh Sharma,B,,Ravisrinivasan  Sai K,13,12,0,1,1
37,569,GT_PBKS_37,PBKS,Liam Livingstone,Ct,Rahul T,Noor A,6,9,1,0,1
37,570,GT_PBKS_37,PBKS,Shashank Singh,Ct,Ravisrinivasan  Sai K,Ravisrinivasan  Sai K,8,12,0,0,1
37,571,GT_PBKS_37,PBKS,Ashutosh Sharma,Ct,Mohit S,Ravisrinivasan  Sai K,3,8,0,0,1
37,572,GT_PBKS_37,PBKS,Harpreet Singh Bhatia,Ro,Wriddhiman S,Sai S,14,19,0,0,1
37,573,GT_PBKS_37,PBKS,Harpreet Brar,Ct,Shahrukh K,Ravisrinivasan  Sai K,29,12,4,1,1
37,574,GT_PBKS_37,PBKS,Harshal Patel,Ct,Shahrukh K,Mohit S,0,1,0,0,1
37,575,GT_PBKS_37,PBKS,Kagiso Rabada,,,,1,1,0,0,0
37,576,GT_PBKS_37,GT,Wriddhiman Saha,Ct,Ashutosh S,Arshdeep S,13,11,1,0,1
37,577,GT_PBKS_37,GT,Shubman Gill,Ct,Kagiso R,Liam L,35,29,5,0,1
37,578,GT_PBKS_37,GT,Sai Sudharsan,B,,Sam C,31,34,3,0,1
37,579,GT_PBKS_37,GT,David Miller,B,,Liam L,4,6,0,0,1
37,580,GT_PBKS_37,GT,Azmatullah Omarzai,Ctw,Jitesh S,Harshal P,13,10,0,1,1
37,581,GT_PBKS_37,GT,Rahul Tewatia,,,,36,18,7,0,0
37,582,GT_PBKS_37,GT,Shahrukh Khan,B,,Harshal P,8,4,0,1,1
37,583,GT_PBKS_37,GT,Rashid Khan,Ct,Rilee R,Harshal P,3,3,0,0,1
38,584,MI_RR_38,MI,Rohit Sharma,Ctw,Sanju S,Trent B,6,5,1,0,1
38,585,MI_RR_38,MI,Ishan Kishan,Ctw,Sanju S,Sandeep S,0,3,0,0,1
38,586,MI_RR_38,MI,Suryakumar Yadav,Ct,Rovman P,Sandeep S,10,8,2,0,1
38,587,MI_RR_38,MI,Tilak Varma,Ct,Rovman P,Sandeep S,65,45,5,3,1
38,588,MI_RR_38,MI,Mohammad Nabi,Ct,Yuzvendra C,Yuzvendra C,23,17,2,1,1
38,589,MI_RR_38,MI,Nehal Wadhera,Ct,Sanju S,Trent B,49,24,3,4,1
38,590,MI_RR_38,MI,Hardik Pandya,Lbw,,Avesh K,10,10,1,0,1
38,591,MI_RR_38,MI,Tim David,Ct,Riyan P,Sandeep S,3,5,0,0,1
38,592,MI_RR_38,MI,Gerald Coetzee,Ct,Shimron H,Sandeep S,0,1,0,0,1
38,593,MI_RR_38,MI,Piyush Chawla,,,,1,1,0,0,0
38,594,MI_RR_38,MI,Jasprit Bumrah,,,,2,1,0,0,0
38,595,MI_RR_38,RR,Yashasvi Jaiswal,,,,104,60,9,7,0
38,596,MI_RR_38,RR,Jos Buttler,B,,Piyush C,35,25,6,0,1
38,597,MI_RR_38,RR,Sanju Samson,,,,38,28,2,2,0
39,598,CSK_LSG_39,CSK,Ajinkya Rahane,Ctw,K L R,Matt H,1,3,0,0,1
39,599,CSK_LSG_39,CSK,Ruturaj Gaikwad,,,,108,60,12,3,0
39,600,CSK_LSG_39,CSK,Daryl Mitchell,Ct,Deepak H,Yash T,11,10,1,0,1
39,601,CSK_LSG_39,CSK,Ravindra Jadeja,Ctw,K L R,Mohsin K,16,19,2,0,1
39,602,CSK_LSG_39,CSK,Shivam Dube,Ro,Marcus S,Quinton D,66,27,3,7,1
39,603,CSK_LSG_39,CSK,M S Dhoni,,,,4,1,1,0,0
39,604,CSK_LSG_39,LSG,Quinton De Kock,B,,Deepak C,0,3,0,0,1
39,605,CSK_LSG_39,LSG,K L Rahul,,,,16,14,1,1,0
39,606,CSK_LSG_39,LSG,Devdutt Padikkal,B,,Matheesha P,13,19,0,0,1
39,607,CSK_LSG_39,LSG,Marcus Stoinis,,,,124,63,13,6,0
39,608,CSK_LSG_39,LSG,Nicholas Pooran,Ct,Shardul T,Matheesha P,34,15,3,2,1
39,609,CSK_LSG_39,LSG,Deepak Hooda,,,,17,6,2,1,0
40,610,DC_GT_40,DC,Prithvi Shaw,Ct,Noor A,Sandeep W,11,7,2,0,1
40,611,DC_GT_40,DC,Jake Fraser-Mcgurk,Ct,Noor A,Sandeep W,23,14,2,2,1
40,612,DC_GT_40,DC,Axar Patel,Ct,Ravisrinivasan  Sai K,Noor A,66,43,5,4,1
40,613,DC_GT_40,DC,Shai Hope,Ct,Rashid K,Sandeep W,5,6,1,0,1
40,614,DC_GT_40,DC,Rishabh Pant,,,,88,43,5,8,0
40,615,DC_GT_40,DC,Tristan Stubbs,,,,26,7,3,2,0
40,616,DC_GT_40,GT,Wriddhiman Saha,Ct,Axar P,Kuldeep Y,39,25,5,1,1
40,617,DC_GT_40,GT,Shubman Gill,Ct,Axar P,Anrich N,6,5,1,0,1
40,618,DC_GT_40,GT,Sai Sudharsan,Ct,Axar P,Rasikh D,65,39,7,2,1
40,619,DC_GT_40,GT,Azmatullah Omarzai,Ct,Jake F,Axar P,1,2,0,0,1
40,620,DC_GT_40,GT,David Miller,Ct,Rasikh D,Mukesh K,55,23,6,3,1
40,621,DC_GT_40,GT,Shahrukh Khan,Ctw,Rishabh P,Rasikh D,8,5,0,1,1
40,622,DC_GT_40,GT,Rahul Tewatia,Ctw,Rishabh P,Kuldeep Y,4,5,0,0,1
40,623,DC_GT_40,GT,Rashid Khan,,,,21,11,3,1,0
40,624,DC_GT_40,GT,Ravisrinivasan  Sai Kishore,B,,Rasikh D,13,6,0,2,1
41,625,RCB_SRH_41,RCB,Virat Kohli,Ct,Abdul S,Jaydev U,51,43,4,1,1
41,626,RCB_SRH_41,RCB,Faf Du Plessis,Ct,Aiden M,T N,25,12,3,1,1
41,627,RCB_SRH_41,RCB,Will Jacks,B,,Mayank M,6,9,0,0,1
41,628,RCB_SRH_41,RCB,Rajat Patidar,Ct,Abdul S,Jaydev U,50,20,2,5,1
41,629,RCB_SRH_41,RCB,Cameron Green,,,,37,20,5,0,0
41,630,RCB_SRH_41,RCB,Mahipal Lomror,Ct,Pat C,Jaydev U,7,4,1,0,1
41,631,RCB_SRH_41,RCB,Dinesh Karthik,Ct,Abdul S,Pat C,11,6,2,0,1
41,632,RCB_SRH_41,RCB,Swapnil Singh,Ct,Abhishek S,T N,12,6,1,1,1
41,633,RCB_SRH_41,SRH,Abhishek Sharma,Ctw,Dinesh K,Yash D,31,13,3,2,1
41,634,RCB_SRH_41,SRH,Travis Head,Ct,Karn S,Will J,1,3,0,0,1
41,635,RCB_SRH_41,SRH,Aiden Markram,Lbw,,Swapnil S,7,8,1,0,1
41,636,RCB_SRH_41,SRH,Nitish Reddy,B,,Karn S,13,13,0,1,1
41,637,RCB_SRH_41,SRH,Heinrich Klaasen,Ct,Cameron G,Swapnil S,7,3,0,1,1
41,638,RCB_SRH_41,SRH,Shahbaz Ahmed,,,,40,37,1,1,0
41,639,RCB_SRH_41,SRH,Abdul Samad,Ct,Karn S,Karn S,10,6,0,1,1
41,640,RCB_SRH_41,SRH,Pat Cummins,Ct,Mohammed S,Cameron G,31,15,1,3,1
41,641,RCB_SRH_41,SRH,Bhuvneshwar Kumar,Ct,Mohammed S,Cameron G,13,13,3,0,1
41,642,RCB_SRH_41,SRH,Jaydev Unadkat,,,,8,10,1,0,0
42,643,KKR_PBKS_42,KKR,Philip Salt,B,,Sam C,75,37,6,6,1
42,644,KKR_PBKS_42,KKR,Sunil Narine,Ct,Jonny B,Rahul C,71,32,9,4,1
42,645,KKR_PBKS_42,KKR,Venkatesh Iyer,Ro,,Jitesh S,39,23,3,2,1
42,646,KKR_PBKS_42,KKR,Andre Russell,Ct,Harshal P,Arshdeep S,24,12,2,2,1
42,647,KKR_PBKS_42,KKR,Shreyas Iyer,Ct,Kagiso R,Arshdeep S,28,10,1,3,1
42,648,KKR_PBKS_42,KKR,Rinku Singh,Ct,Ashutosh S,Harshal P,5,4,1,0,1
42,649,KKR_PBKS_42,KKR,Ramandeep Singh,,,,6,3,0,1,0
42,650,KKR_PBKS_42,PBKS,Prabhsimran Singh,Ro,,Sunil N,54,20,4,5,1
42,651,KKR_PBKS_42,PBKS,Jonny Bairstow,,,,108,48,8,9,0
42,652,KKR_PBKS_42,PBKS,Rilee Rossouw,Ct,Shreyas I,Sunil N,26,16,1,2,1
42,653,KKR_PBKS_42,PBKS,Shashank Singh,,,,68,28,2,8,0
43,654,DC_MI_43,DC,Jake Fraser-Mcgurk,Ct,Mohammad N,Piyush C,84,27,11,6,1
43,655,DC_MI_43,DC,Abishek Porel,Ctw,Ishan K,Mohammad N,36,27,3,1,1
43,656,DC_MI_43,DC,Shai Hope,Ct,Tilak V,Luke W,41,17,0,5,1
43,657,DC_MI_43,DC,Rishabh Pant,Ct,Rohit S,Jasprit B,29,19,2,2,1
43,658,DC_MI_43,DC,Tristan Stubbs,,,,48,25,6,2,0
43,659,DC_MI_43,DC,Axar Patel,,,,11,6,0,1,0
43,660,DC_MI_43,MI,Ishan Kishan,Ct,Axar P,Mukesh K,20,14,4,0,1
43,661,DC_MI_43,MI,Rohit Sharma,Ct,Shai H,Khaleel A,8,8,1,0,1
43,662,DC_MI_43,MI,Suryakumar Yadav,Ct,Lizaad W,Khaleel A,26,13,3,2,1
43,663,DC_MI_43,MI,Tilak Varma,Ro,Rishabh P,Substitute,63,32,4,4,1
43,664,DC_MI_43,MI,Hardik Pandya,Ct,Mukesh K,Rasikh D,46,24,4,3,1
43,665,DC_MI_43,MI,Nehal Wadhera,Ctw,Rishabh P,Rasikh D,4,2,1,0,1
43,666,DC_MI_43,MI,Tim David,Lbw,,Mukesh K,37,17,2,3,1
43,667,DC_MI_43,MI,Mohammad Nabi,Ct,Shai H,Rasikh D,7,4,0,1,1
43,668,DC_MI_43,MI,Piyush Chawla,Ct,Shai H,Mukesh K,10,4,1,1,1
43,669,DC_MI_43,MI,Luke Wood,,,,9,3,0,1,0
44,670,LSG_RR_44,LSG,Quinton De Kock,B,,Trent B,8,3,2,0,1
44,671,LSG_RR_44,LSG,K L Rahul,Ct,Trent B,Avesh K,76,48,8,2,1
44,672,LSG_RR_44,LSG,Marcus Stoinis,B,,Sandeep S,0,4,0,0,1
44,673,LSG_RR_44,LSG,Deepak Hooda,Ct,Rovman P,Ravichandran A,50,31,7,0,1
44,674,LSG_RR_44,LSG,Nicholas Pooran,Ct,Trent B,Sandeep S,11,11,1,0,1
44,675,LSG_RR_44,LSG,Ayush Badoni,,,,18,13,1,0,0
44,676,LSG_RR_44,LSG,Krunal Pandya,,,,15,11,1,0,0
44,677,LSG_RR_44,RR,Yashasvi Jaiswal,Ct,Ravi B,Marcus S,24,18,3,1,1
44,678,LSG_RR_44,RR,Jos Buttler,B,,Yash T,34,18,4,1,1
44,679,LSG_RR_44,RR,Sanju Samson,,,,71,33,7,4,0
44,680,LSG_RR_44,RR,Riyan Parag,Ct,Ayush B,Amit M,14,11,0,1,1
44,681,LSG_RR_44,RR,Dhruv Jurel,,,,52,34,5,2,0
45,682,GT_RCB_45,GT,Wriddhiman Saha,Ct,Karn S,Swapnil S,5,4,1,0,1
45,683,GT_RCB_45,GT,Shubman Gill,Ct,Cameron G,Glenn M,16,19,1,0,1
45,684,GT_RCB_45,GT,Sai Sudharsan,,,,84,49,8,4,0
45,685,GT_RCB_45,GT,Shahrukh Khan,B,,Mohammed S,58,30,3,5,1
45,686,GT_RCB_45,GT,David Miller,,,,26,19,2,1,0
45,687,GT_RCB_45,RCB,Virat Kohli,,,,70,44,6,3,0
45,688,GT_RCB_45,RCB,Faf Du Plessis,Ct,Substitute,Ravisrinivasan  Sai K,24,12,1,3,1
45,689,GT_RCB_45,RCB,Will Jacks,,,,100,41,5,10,0
46,690,CSK_SRH_46,CSK,Ajinkya Rahane,Ct,Shahbaz A,Bhuvneshwar K,9,12,1,0,1
46,691,CSK_SRH_46,CSK,Ruturaj Gaikwad,Ct,Nitish R,T N,98,54,10,3,1
46,692,CSK_SRH_46,CSK,Daryl Mitchell,Ct,Nitish R,Jaydev U,52,32,7,1,1
46,693,CSK_SRH_46,CSK,Shivam Dube,,,,39,20,1,4,0
46,694,CSK_SRH_46,CSK,M S Dhoni,,,,5,2,1,0,0
46,695,CSK_SRH_46,SRH,Travis Head,Ct,Daryl M,Tushar D,13,7,1,1,1
46,696,CSK_SRH_46,SRH,Abhishek Sharma,Ct,Daryl M,Tushar D,15,9,1,1,1
46,697,CSK_SRH_46,SRH,Anmolpreet Singh,Ct,Moeen A,Tushar D,0,1,0,0,1
46,698,CSK_SRH_46,SRH,Aiden Markram,B,,Matheesha P,32,26,4,0,1
46,699,CSK_SRH_46,SRH,Nitish Reddy,Ctw,M S D,Ravindra J,15,15,0,0,1
46,700,CSK_SRH_46,SRH,Heinrich Klaasen,Ct,Daryl M,Matheesha P,20,21,0,1,1
46,701,CSK_SRH_46,SRH,Abdul Samad,Ct,Substitute,Shardul T,19,18,1,1,1
46,702,CSK_SRH_46,SRH,Shahbaz Ahmed,Ct,Daryl M,Mustafizur R,7,5,1,0,1
46,703,CSK_SRH_46,SRH,Pat Cummins,Ct,Daryl M,Tushar D,5,7,1,0,1
46,704,CSK_SRH_46,SRH,Bhuvneshwar Kumar,,,,4,3,0,0,0
46,705,CSK_SRH_46,SRH,Jaydev Unadkat,Ct,Moeen A,Mustafizur R,1,2,0,0,1
47,706,DC_KKR_47,DC,Prithvi Shaw,Ctw,Philip S,Vaibhav A,13,7,3,0,1
47,707,DC_KKR_47,DC,Jake Fraser-Mcgurk,Ct,Venkatesh I,Mitchell S,12,7,1,1,1
47,708,DC_KKR_47,DC,Abishek Porel,B,,Harshit R,18,15,2,1,1
47,709,DC_KKR_47,DC,Shai Hope,B,,Vaibhav A,6,3,0,1,1
47,710,DC_KKR_47,DC,Rishabh Pant,Ct,Shreyas I,Varun C,27,20,2,1,1
47,711,DC_KKR_47,DC,Axar Patel,B,,Sunil N,15,21,2,0,1
47,712,DC_KKR_47,DC,Tristan Stubbs,Ctw,Philip S,Varun C,4,7,0,0,1
47,713,DC_KKR_47,DC,Kumar Kushagra,Ctw,Philip S,Varun C,1,3,0,0,1
47,714,DC_KKR_47,DC,Kuldeep Yadav,,,,35,26,5,1,0
47,715,DC_KKR_47,DC,Rasikh Dar,Ct,Shreyas I,Harshit R,8,10,1,0,1
47,716,DC_KKR_47,DC,Lizaad Williams,,,,1,2,0,0,0
47,717,DC_KKR_47,KKR,Philip Salt,B,,Axar P,68,33,7,5,1
47,718,DC_KKR_47,KKR,Sunil Narine,Ct,Jake F,Axar P,15,10,3,0,1
47,719,DC_KKR_47,KKR,Rinku Singh,Ct,Kuldeep Y,Lizaad W,11,11,1,0,1
47,720,DC_KKR_47,KKR,Shreyas Iyer,,,,33,23,3,1,0
47,721,DC_KKR_47,KKR,Venkatesh Iyer,,,,26,23,2,1,0
48,722,LSG_MI_48,MI,Ishan Kishan,Ct,Mayank Y,Ravi B,32,36,3,0,1
48,723,LSG_MI_48,MI,Rohit Sharma,Ct,Marcus S,Mohsin K,4,5,1,0,1
